dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			Matricellular				0.12181278081240955	-0.05651305106169115	0.1783258318741007	positive
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	LOX/LOXL2	10800.0		0.27133563180721926				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	LOX/LOXL2	7356.0		0.0026820774208893283				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	LOX/LOXL2	4473.0		0.00833791822437202				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	LOX/LOXL2	7704.0		0.102613471306781				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			LOX/LOXL2				0.18697455155700013	0.0055099978226306745	0.18146455373436945	positive
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	ECM remodeling	10800.0		0.20815801930608963				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	ECM remodeling	7356.0		0.03686697054888713				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	ECM remodeling	4473.0		0.06297325569028533				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	ECM remodeling	7704.0		0.19682936059865427				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			ECM remodeling				0.20249368995237194	0.04992011311958623	0.15257357683278572	positive
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	Keratocyte-associated identity	10800.0		-0.1415476854065622				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	Keratocyte-associated identity	7356.0		-0.12242521553645758				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	Keratocyte-associated identity	4473.0		0.07303958800370436				
